Nat,Ability I,Ability II,Hidden Ability
1,Overgrow,,Chlorophyll
2,Overgrow,,Chlorophyll
3,Overgrow,,Chlorophyll
4,Blaze,,Solar Power
5,Blaze,,Solar Power
6,Blaze,,Solar Power
7,Torrent,,Rain Dish
8,Torrent,,Rain Dish
9,Torrent,,Rain Dish
10,Shield Dust,,Run Away
11,Shed Skin,,
12,Compoundeyes,,Tinted Lens
13,Shield Dust,,Run Away
14,Shed Skin,,
15,Swarm,,Sniper
16,Keen Eye,Tangled Feet,Big Pecks
17,Keen Eye,Tangled Feet,Big Pecks
18,Keen Eye,Tangled Feet,Big Pecks
19,Run Away,Guts,Hustle
20,Run Away,Guts,Hustle
21,Keen Eye,,Sniper
22,Keen Eye,,Sniper
23,Intimidate,Shed Skin,Unnerve
24,Intimidate,Shed Skin,Unnerve
25,Static,,Lightningrod
26,Static,,Lightningrod
27,Sand Veil,,Sand Rush
28,Sand Veil,,Sand Rush
29,Poison Point,Rivalry,Hustle
30,Poison Point,Rivalry,Hustle
31,Poison Point,Rivalry,Sheer Force
32,Poison Point,Rivalry,Hustle
33,Poison Point,Rivalry,Hustle
34,Poison Point,Rivalry,Sheer Force
35,Cute Charm,Magic Guard,Friend Guard
36,Cute Charm,Magic Guard,Unaware
37,Flash Fire,,Drought
38,Flash Fire,,Drought
39,Cute Charm,,Friend Guard
40,Cute Charm,,Frisk
41,Inner Focus,,Infiltrator
42,Inner Focus,,Infiltrator
43,Chlorophyll,,Run Away
44,Chlorophyll,,Stench
45,Chlorophyll,,Effect Spore
46,Effect Spore,Dry Skin,Damp
47,Effect Spore,Dry Skin,Damp
48,Compoundeyes,Tinted Lens,Run Away
49,Shield Dust,Tinted Lens,Wonder Skin
50,Sand Veil,Arena Trap,Sand Force
51,Sand Veil,Arena Trap,Sand Force
52,Pickup,Technician,Unnerve
53,Limber,Technician,Unnerve
54,Damp,Cloud Nine,Swift Swim
55,Damp,Cloud Nine,Swift Swim
56,Vital Spirit,Anger Point,Defiant
57,Vital Spirit,Anger Point,Defiant
58,Intimidate,Flash Fire,Justified
59,Intimidate,Flash Fire,Justified
60,Water Absorb,Damp,Swift Swim
61,Water Absorb,Damp,Swift Swim
62,Water Absorb,Damp,Swift Swim
63,Synchronize,Inner Focus,Magic Guard
64,Synchronize,Inner Focus,Magic Guard
65,Synchronize,Inner Focus,Magic Guard
66,Guts,No Guard,Steadfast
67,Guts,No Guard,Steadfast
68,Guts,No Guard,Steadfast
69,Chlorophyll,,Gluttony
70,Chlorophyll,,Gluttony
71,Chlorophyll,,Gluttony
