Nat,Egg Group I,Egg Group II
1,Monster,Grass
2,Monster,Grass
3,Monster,Grass
4,Monster,Dragon
5,Monster,Dragon
6,Monster,Dragon
7,Monster,Water 1
8,Monster,Water 1
9,Monster,Water 1
10,Bug,
11,Bug,
12,Bug,
13,Bug,
14,Bug,
15,Bug,
16,Flying,
17,Flying,
18,Flying,
19,Field,
20,Field,
21,Flying,
22,Flying,
23,Field,Dragon
24,Field,Dragon
25,Field,Fairy
26,Field,Fairy
27,Field,
28,Field,
29,Monster,Field
30,Undiscovered,
31,Undiscovered,
32,Monster,Field
33,Monster,Field
34,Monster,Field
35,Fairy,
36,Fairy,
37,Field,
38,Field,
39,Fairy,
40,Fairy,
41,Flying,
42,Flying,
43,Grass,
44,Grass,
45,Grass,
46,Bug,Grass
47,Bug,Grass
48,Bug,
49,Bug,
50,Field,
51,Field,
52,Field,
53,Field,
54,Water 1,Field
55,Water 1,Field
56,Field,
57,Field,
58,Field,
59,Field,
60,Water 1,
61,Water 1,
62,Water 1,
63,Human-Like,
64,Human-Like,
65,Human-Like,
66,Human-Like,
67,Human-Like,
68,Human-Like,
69,Grass,
70,Grass,
71,Grass,
72,Water 3,
73,Water 3,
74,Mineral,
75,Mineral,
76,Mineral,
77,Field,
78,Field,
79,Monster,Water 1
80,Monster,Water 1
81,Mineral,
82,Mineral,
83,Flying,Field
84,Flying,
85,Flying,
86,Water 1,Field
87,Water 1,Field
88,Amorphous,
89,Amorphous,
90,Water 3,
91,Water 3,
92,Amorphous,
93,Amorphous,
94,Amorphous,
95,Mineral,
96,Human-Like,
97,Human-Like,
98,Water 3,
99,Water 3,
100,Mineral,
101,Mineral,
102,Grass,
103,Grass,
104,Monster,
105,Monster,
106,Human-Like,
107,Human-Like,
108,Monster,
109,Amorphous,
110,Amorphous,
111,Monster,Field
112,Monster,Field
113,Fairy,
114,Grass,
115,Monster,
116,Water 1,Dragon
117,Water 1,Dragon
118,Water 2,
119,Water 2,
120,Water 3,
121,Water 3,
122,Human-Like,
123,Bug,
124,Human-Like,
125,Human-Like,
126,Human-Like,
127,Bug,
128,Field,
129,Water 2,Dragon
130,Water 2,Dragon
131,Monster,Water 1
132,Ditto,
133,Field,
134,Field,
135,Field,
136,Field,
137,Mineral,
138,Water 1,Water 3
139,Water 1,Water 3
140,Water 1,Water 3
141,Water 1,Water 3
142,Flying,
143,Monster,
144,Undiscovered,
145,Undiscovered,
146,Undiscovered,
147,Water 1,Dragon
148,Water 1,Dragon
149,Water 1,Dragon
150,Undiscovered,
151,Undiscovered,
152,Monster,Grass
153,Monster,Grass
154,Monster,Grass
155,Field,
156,Field,
157,Field,
158,Monster,Water 1
159,Monster,Water 1
160,Monster,Water 1
161,Field,
162,Field,
163,Flying,
164,Flying,
165,Bug,
166,Bug,
167,Bug,
168,Bug,
169,Flying,
170,Water 2,
171,Water 2,
172,Undiscovered,
173,Undiscovered,
174,Undiscovered,
175,Undiscovered,
176,Flying,Fairy
177,Flying,
178,Flying,
179,Monster,Field
180,Monster,Field
181,Monster,Field
182,Grass,
